"Campus","StudyField","Branch","Role","EduLevel","ProgLang","Databases","Platform","WebFramework","Industry","AISearch","AITool","Employment"
"midrand campus","it","i am not primarily a developer, but i write code sometimes as part of my work/studies","academic researcher","master’s degree (m.a., m.s., m.eng., mba, etc.)","python","","","","higher education","wolframalpha","rubber duck.ai;synk code","employed, full-time"
"pretoria campus","it","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","bash/shell (all shells);c#;c++;html/css;java;javascript;powershell;python","mariadb;mysql;postgresql","","asp.net core","financial services","chatgpt","aws codewhisperer;codeium;github copilot","employed, part-time;student, part-time"
"pretoria campus","it","i am a developer by profession","developer, mobile","bachelor’s degree (b.a., b.s., b.eng., etc.)","html/css;java;javascript;kotlin;php;python;sql","mariadb;mysql;sqlite","microsoft azure","laravel;node.js;react;wordpress","healthcare","chatgpt","github copilot;tabnine;whispr ai","employed, full-time"
"midrand campus","computer science","i am a developer by profession","developer, full-stack","associate degree (a.a., a.s., etc.)","java;javascript;typescript","mariadb;mongodb;oracle","firebase","react;svelte;vue.js","financial services","","aws codewhisperer;codeium;github copilot;tabnine;whispr ai","employed, full-time"
"tyger valley campus","it","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","bash/shell (all shells);c;html/css;javascript;objective-c;php;python;rust;typescript","dynamodb;mongodb;mysql;redis;solr;sqlite","amazon web services (aws);digital ocean;microsoft azure;vercel","flask;jquery;laravel;next.js;node.js;react;wordpress","insurance","","aws codewhisperer;codeium;github copilot;replit ghostwriter;tabnine","employed, full-time;independent contractor, freelancer, or self-employed;student, full-time"
"umhlanga campus","data science","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","dart;html/css;java;javascript;kotlin;sql;swift;typescript","cloud firestore;mysql","amazon web services (aws);firebase","express;fastify;next.js;node.js;react;spring boot","advertising services","chatgpt","adrenaline;codeium;github copilot","employed, full-time"
"nelson mandela bay campus","data science","i am a developer by profession","developer, back-end","bachelor’s degree (b.a., b.s., b.eng., etc.)","java","dynamodb;mysql;postgresql","amazon web services (aws)","spring boot","other","chatgpt","aws codewhisperer;whispr ai","employed, full-time"
"umhlanga campus","computer science","i am not primarily a developer, but i write code sometimes as part of my work/studies","other (please specify):","master’s degree (m.a., m.s., m.eng., mba, etc.)","java;javascript","","amazon web services (aws);netlify;render","gatsby;node.js;react;wordpress","other","chatgpt","adrenaline","employed, full-time;independent contractor, freelancer, or self-employed"
"umhlanga campus","computer science","i am a developer by profession","engineer, site reliability","some college/university study without earning a degree","bash/shell (all shells);go;javascript;julia;lua;php;rust;solidity","elasticsearch;mariadb;mongodb;oracle;postgresql;sqlite","amazon web services (aws);microsoft azure;openshift","angular;angularjs;django;react","legal services","chatgpt;google bard ai;phind","adrenaline;mintlify;rubber duck.ai","employed, full-time;employed, part-time"
"nelson mandela bay campus","computer science","i am a developer by profession","developer, back-end","master’s degree (m.a., m.s., m.eng., mba, etc.)","ada;bash/shell (all shells);c;java","mysql","ovh","","advertising services","","aws codewhisperer;codeium;github copilot;tabnine;whispr ai","employed, full-time"
"tyger valley campus","it","i am a developer by profession","developer, mobile","some college/university study without earning a degree","bash/shell (all shells);java;javascript;kotlin;sql","mysql","firebase;google cloud","node.js","oil & gas","","aws codewhisperer;codeium;replit ghostwriter;synk code;tabnine","employed, full-time"
"umhlanga campus","computer science","i am a developer by profession","developer, full-stack","master’s degree (m.a., m.s., m.eng., mba, etc.)","c#;html/css;javascript;python","microsoft sql server;redis","","asp.net;asp.net core","insurance","","aws codewhisperer;mintlify;replit ghostwriter;synk code;tabnine","employed, full-time"
"pretoria campus","it","i am not primarily a developer, but i write code sometimes as part of my work/studies","academic researcher","professional degree (jd, md, ph.d, ed.d, etc.)","c++","","","","legal services","","github copilot;replit ghostwriter;tabnine","employed, full-time"
"nelson mandela bay campus","data science","i am learning to code","","secondary school (e.g. american high school, german realschule or gymnasium, etc.)","bash/shell (all shells);html/css;javascript;python;sql;typescript","mongodb;postgresql","hetzner","express;node.js;react","oil & gas","chatgpt","adrenaline;aws codewhisperer;codeium;github copilot;mintlify;replit ghostwriter;rubber duck.ai;synk code;tabnine;whispr ai","student, full-time"
"tyger valley campus","data science","i code primarily as a hobby","designer","bachelor’s degree (b.a., b.s., b.eng., etc.)","html/css;javascript","mysql;postgresql","heroku;vercel","next.js;react","healthcare","bing ai;chatgpt","rubber duck.ai;tabnine","employed, full-time"
"tyger valley campus","computer science","i am a developer by profession","developer, embedded applications or devices","bachelor’s degree (b.a., b.s., b.eng., etc.)","c;c++;java;sql","oracle","","","wholesale","","github copilot;synk code;tabnine","employed, full-time"
"tyger valley campus","computer science","i am a developer by profession","other (please specify):","some college/university study without earning a degree","bash/shell (all shells);go;html/css;javascript;python;sql;typescript","mysql;postgresql;sqlite","scaleway","angular;django","legal services","chatgpt","aws codewhisperer;github copilot;mintlify;tabnine","employed, full-time"
"pretoria campus","computer science","i am a developer by profession","cloud infrastructure engineer","bachelor’s degree (b.a., b.s., b.eng., etc.)","bash/shell (all shells);go;java;kotlin;sql;typescript","elasticsearch;h2;influxdb;oracle;postgresql;redis;sqlite","google cloud;microsoft azure","react;spring boot;svelte","manufacturing, transportation, or supply chain","chatgpt","aws codewhisperer;codeium;github copilot","employed, full-time;independent contractor, freelancer, or self-employed"
"nelson mandela bay campus","data science","i am a developer by profession","developer, full-stack","some college/university study without earning a degree","html/css;java;javascript;php;sql;typescript","mariadb;microsoft sql server;mongodb;mysql","amazon web services (aws);netlify","express;gatsby;jquery;node.js;nuxt.js;vue.js;wordpress","wholesale","bing ai;chatgpt","codeium;github copilot;synk code","employed, full-time"
"midrand campus","it","i am a developer by profession","developer, back-end","bachelor’s degree (b.a., b.s., b.eng., etc.)","html/css;javascript;php;sql","mariadb;postgresql","","codeigniter;jquery","higher education","","aws codewhisperer;github copilot","employed, part-time"
"tyger valley campus","it","i am a developer by profession","data scientist or machine learning specialist","bachelor’s degree (b.a., b.s., b.eng., etc.)","bash/shell (all shells);javascript;python","","amazon web services (aws);google cloud","","manufacturing, transportation, or supply chain","","adrenaline;codeium;github copilot","employed, part-time"
"midrand campus","data science","i am a developer by profession","developer, mobile","bachelor’s degree (b.a., b.s., b.eng., etc.)","bash/shell (all shells);html/css;javascript;kotlin;objective-c;php;sql;swift","mariadb;microsoft sql server;mongodb;mysql;sqlite","google cloud;vmware","angularjs;next.js;node.js;vue.js","oil & gas","","aws codewhisperer;github copilot;synk code;tabnine","employed, full-time"
"midrand campus","it","i am a developer by profession","developer, full-stack","master’s degree (m.a., m.s., m.eng., mba, etc.)","c;c++;java;php;sql","mariadb;mysql","","","information services, it, software development, or other technology","wolframalpha","adrenaline;mintlify;rubber duck.ai","employed, part-time;student, part-time"
"pretoria campus","computer science","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","html/css;javascript;php;sql;typescript","elasticsearch;mysql;redis;sqlite","digital ocean;netlify","angular;jquery;laravel;vue.js","oil & gas","","aws codewhisperer;github copilot;mintlify","employed, full-time"
"pretoria campus","it","i am a developer by profession","developer, full-stack","something else","bash/shell (all shells);c#;html/css;javascript;php;sql;typescript","elasticsearch;mongodb;mysql;postgresql;sqlite","amazon web services (aws);digital ocean;netlify","asp.net core;nuxt.js;symfony;vue.js","legal services","bing ai;chatgpt;wolframalpha","adrenaline;github copilot;tabnine","employed, full-time;independent contractor, freelancer, or self-employed"
"pretoria campus","data science","i am a developer by profession","research & development role","bachelor’s degree (b.a., b.s., b.eng., etc.)","html/css;javascript;typescript","dynamodb","amazon web services (aws)","express;fastify;node.js;react","healthcare","","github copilot;whispr ai","employed, full-time"
"pretoria campus","data science","i am a developer by profession","engineering manager","some college/university study without earning a degree","clojure;javascript;lisp;lua;powershell;typescript","dynamodb;mongodb;postgresql;redis","amazon web services (aws);google cloud;vercel","express;nestjs;next.js;node.js;react;remix;solid.js","manufacturing, transportation, or supply chain","chatgpt","adrenaline;aws codewhisperer;github copilot","employed, full-time"
